data_date;idrpt;idpet;version;cnc_id;cnt_id;fh;season;et;c;d1;d2;zip_file;xml_file;partition_0;partition_1;partition_2
2018-06-05 16:00:00.000;S09;427818271;3.1.c;ZIV0004310736;SOG0940062089;;S;3;13;;;S09-ZO-20180605-1600_20180605174215.zip;;2018;6;5
2018-06-11 15:00:00.000;S09;430403581;3.1.c;ZIV0004324344;ZIV0044147091;;S;1;30;;;S09-ZO-20180611-1500_20180611174228.zip;;2018;6;11
2018-06-18 17:30:00.000;S09;433480901;3.1.c;ZIV0004310744;ZIV0039368994;;S;3;2;;;S09-ZO-20180618-1730_20180618174216.zip;;2018;6;18
2018-06-19 16:00:00.000;S09;433837331;3.1.c;ZIV0004304627;SAG0135285884;;S;6;3;;;S09-ZO-20180619-1600_20180619174219.zip;;2018;6;19
2018-07-05 16:30:00.000;S09;441049931;3.1.c;ZIV0004323991;ZIV0045925821;;S;1;44;;;S09-ZO-20180705-1630_20180705174112.zip;;2018;7;5
2018-07-31 22:30:00.000;S09;449820551;3.1.c;ZIV0004312500;ZIV0042313611;;S;6;2;;;S09-ZO-20180731-2230_20180801054118.zip;;2018;7;31
2018-08-27 14:30:00.000;S09;460186191;3.1.c;ZIV0004327498;SOG0040103099;;S;3;1;;;S09-ZO-20180827-1430_20180827174012.zip;;2018;8;27
2018-08-30 14:00:00.000;S09;461181021;3.1.c;ZIV0000034899;SOG0940023315;;S;1;2;;;S09-ZO-20180830-1400_20180830174014.zip;;2018;8;30
2018-09-05 23:30:00.000;S09;464477991;3.1.c;ZIV0004311040;ITE0151780616;;S;3;14;;;S09-ZO-20180905-2330_20180906053903.zip;;2018;9;5
2018-09-17 18:00:00.000;S09;469956561;3.1.c;ZIV0004323991;ZIV0040878202;;S;1;1;;;S09-ZO-20180917-1800_20180918053911.zip;;2018;9;17
2018-09-21 16:00:00.000;S09;471431491;3.1.c;ZIV0004324117;ZIV0043980575;;S;6;1;;;S09-ZO-20180921-1600_20180921173829.zip;;2018;9;21
2018-09-26 14:00:00.000;S09;473015221;3.1.c;ZIV0004389601;ZIV0045913272;;S;3;13;;;S09-ZO-20180926-1400_20180926155452.zip;;2018;9;26
2018-09-28 14:30:00.000;S09;473766171;3.1.c;ZIV0004327542;ZIV0040113545;;S;1;98;;;S09-ZO-20180928-1430_20180928173829.zip;;2018;9;28
2018-09-29 00:00:00.000;S09;473972814;3.1.c;ZIV0004330804;ORB0000621475;;S;5;1;;;S09-ZO-20180929-0000_20180929065410.zip;;2018;9;29
2018-10-15 17:30:00.000;S09;480866461;3.1.c;ZIV0004323952;ZIV0042810640;;S;6;4;;;S09-ZO-20181015-1730_20181015173748.zip;;2018;10;15
2018-10-15 19:00:00.000;S09;480872321;3.1.c;ZIV0004354506;SOG0040038729;;S;1;30;;;S09-ZO-20181015-1900_20181016053755.zip;;2018;10;15
2018-10-23 16:00:00.000;S09;484187701;3.1.c;ZIV0004327606;SAG0156102562;;S;3;2;;;S09-ZO-20181023-1600_20181023173756.zip;;2018;10;23
2018-10-26 14:30:00.000;S09;484783321;3.1.c;ZIV0004311120;ZIV0048674071;;S;1;66;;;S09-ZO-20181026-1430_20181026174537.zip;;2018;10;26
2018-10-29 16:30:00.000;S09;486300821;3.1.c;CIR4621710505;ZIV0040293017;;W;1;44;;;S09-ZO-20181029-1630_20181029174546.zip;;2018;10;29
2018-11-12 15:30:00.000;S09;492651681;3.1.c;ZIV0004324248;ZIV0039374379;;W;3;1;;;S09-ZO-20181112-1530_20181112174551.zip;;2018;11;12
2018-11-12 15:30:00.000;S09;492652051;3.1.c;ZIV0004312522;SOG0940091135;;W;6;2;;;S09-ZO-20181112-1530_20181112174551.zip;;2018;11;12
2018-11-13 14:00:00.000;S09;492972561;3.1.c;ZIV0004304610;ZIV0044054507;;W;1;2;;;S09-ZO-20181113-1400_20181113174523.zip;;2018;11;13
2018-11-13 14:30:00.000;S09;492972851;3.1.c;ZIV0004316711;ZIV0042442408;;W;4;1;;;S09-ZO-20181113-1430_20181113174515.zip;;2018;11;13
2018-11-16 16:00:00.000;S09;494515931;3.1.c;ZIV0004310626;ZIV0044029049;;W;5;13;;;S09-ZO-20181116-1600_20181116174511.zip;;2018;11;16
2018-11-22 16:00:00.000;S09;497628751;3.1.c;ZIV0004304628;ZIV0044057727;;W;3;14;;;S09-ZO-20181122-1600_20181122174518.zip;;2018;11;22
2018-11-28 16:00:00.000;S09;500458331;3.1.c;ZIV0004404667;LGZ0011721699;;W;1;98;;;S09-ZO-20181128-1600_20181128174521.zip;;2018;11;28
